Entity,region,ImagePath,Color
Luxembourg,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Luxembourg.png,
Macedonia,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Macedonia.png,
Madagascar,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Madagascar.png,
Malaysia,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Malaysia.png,
Maldives,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Maldives.png,
Mali,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Mali.png,
Malta,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Malta.png,
Mauritania,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Mauritania.png,
Mauritius,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Mauritius.png,
Mexico,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Mexico.png,
Moldova,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Moldova.png,
Monaco,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Monaco.png,
Mongolia,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Mongolia.png,
Montenegro,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Montenegro.png,
Montserrat,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Montserrat.png,
Morocco,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Morocco.png,
Mozambique,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Mozambique.png,
Myanmar,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Myanmar.png,
Namibia,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Namibia.png,
Nepal,Asia,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Nepal.png,
Netherlands,Europe,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Netherlands.png,
New Caledonia,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/New Caledonia.png,
New Zealand,Oceania,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/New Zealand.png,
Nicaragua,Americas,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Nicaragua.png,
Niger,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Niger.png,
Nigeria,Africa,C:/Users/Lifeng Liu/Desktop/bar_chart_race_python_project/flag/Nigeria.png,
